date,open,high,low,close,volume
2024-12-05 19:00:00-05:00,50.4,50.57,50.2649,50.4,23439352.0
2024-12-08 19:00:00-05:00,50.44,50.49,49.69,49.71,41998283.0
2024-12-09 19:00:00-05:00,49.75,49.98,49.385,49.7,38861785.0
2024-12-10 19:00:00-05:00,49.9,49.92,49.58,49.8,35035893.0
2024-12-11 19:00:00-05:00,49.93,49.97,49.58,49.58,23107260.0
2024-12-12 19:00:00-05:00,49.78,49.795,49.43,49.54,39160444.0
2024-12-15 19:00:00-05:00,49.57,49.63,49.355,49.45,35242760.0
2024-12-16 19:00:00-05:00,49.26,49.27,48.9341,49.1,46103332.0
2024-12-17 19:00:00-05:00,49.19,49.3,47.59,47.63,72399490.0
2024-12-18 19:00:00-05:00,48.17,48.53,47.79,47.8,63641042.0
2024-12-19 19:00:00-05:00,47.7,48.885,47.6,48.51,56066149.0
2024-12-22 19:00:00-05:00,48.06,48.455,47.87,48.42,43033305.0
2024-12-23 19:00:00-05:00,48.52,49.01,48.425,48.99,18350465.0
2024-12-25 19:00:00-05:00,48.77,49.13,48.74,49.11,20807209.0
2024-12-26 19:00:00-05:00,48.85,49.17,48.49,48.75,33852395.0
2024-12-29 19:00:00-05:00,48.25,48.4955,47.86,48.28,34819775.0
2024-12-30 19:00:00-05:00,48.4,48.57,48.16,48.33,25170529.0
2025-01-01 19:00:00-05:00,48.58,48.765,47.94,48.21,35879122.0
2025-01-02 19:00:00-05:00,48.49,48.62,48.075,48.59,25198141.0
2025-01-05 19:00:00-05:00,48.8,49.02,48.35,48.44,54289944.0
2025-01-06 19:00:00-05:00,48.65,48.76,48.115,48.33,57682699.0
2025-01-07 19:00:00-05:00,48.34,48.5,48.02,48.49,36422023.0
2025-01-09 19:00:00-05:00,48.1,48.14,47.15,47.32,53128705.0
2025-01-12 19:00:00-05:00,47.08,47.68,47.035,47.66,36002819.0
2025-01-13 19:00:00-05:00,47.85,48.29,47.7449,48.25,39353252.0
2025-01-14 19:00:00-05:00,49.28,49.61,49.0099,49.48,61176908.0
2025-01-15 19:00:00-05:00,49.46,49.845,49.455,49.81,33830433.0
2025-01-16 19:00:00-05:00,49.91,50.32,49.73,50.23,43693111.0
2025-01-20 19:00:00-05:00,50.4,50.71,50.385,50.65,33267467.0
2025-01-21 19:00:00-05:00,50.65,50.66,50.21,50.41,37226405.0
2025-01-22 19:00:00-05:00,50.49,50.79,50.48,50.7,32048845.0
2025-01-23 19:00:00-05:00,50.53,50.9,50.48,50.85,39088665.0
2025-01-26 19:00:00-05:00,50.76,51.44,50.62,51.41,61707423.0
2025-01-27 19:00:00-05:00,51.35,51.55,51.11,51.32,39885275.0
2025-01-28 19:00:00-05:00,51.18,51.74,51.17,51.28,43612187.0
2025-01-29 19:00:00-05:00,51.75,52.04,51.43,51.77,64250481.0
2025-01-30 19:00:00-05:00,51.83,51.97,51.435,51.47,40429466.0
2025-02-02 19:00:00-05:00,50.75,51.395,50.4125,51.26,77416229.0
2025-02-03 19:00:00-05:00,51.32,51.39,51.0,51.14,41742731.0
