date,open,high,low,close,volume
2024-12-19 19:00:00-05:00,74.38,75.7299,74.37,75.1,20878324.0
2024-12-22 19:00:00-05:00,75.24,75.64,74.94,75.59,10491242.0
2024-12-23 19:00:00-05:00,75.62,75.92,75.43,75.86,5585232.0
2024-12-25 19:00:00-05:00,75.99,76.345,75.9301,76.22,10787372.0
2024-12-26 19:00:00-05:00,76.08,76.275,75.83,76.11,15819744.0
2024-12-29 19:00:00-05:00,75.64,75.8799,75.275,75.61,16427609.0
2024-12-30 19:00:00-05:00,75.86,75.98,75.44,75.61,21393484.0
2025-01-01 19:00:00-05:00,75.7,75.87,75.14,75.35,12756558.0
2025-01-02 19:00:00-05:00,75.53,75.74,75.235,75.68,12548776.0
2025-01-05 19:00:00-05:00,76.33,76.89,76.25,76.4,16201781.0
2025-01-06 19:00:00-05:00,77.06,77.06,76.23,76.34,9393247.0
2025-01-07 19:00:00-05:00,75.9,76.33,75.675,76.22,7894852.0
2025-01-09 19:00:00-05:00,75.65,75.67,74.9038,75.06,12022276.0
2025-01-12 19:00:00-05:00,74.25,74.89,74.24,74.85,12019745.0
2025-01-13 19:00:00-05:00,75.02,75.256,74.76,75.12,9963181.0
2025-01-14 19:00:00-05:00,76.2,76.26,75.755,76.08,12144784.0
2025-01-15 19:00:00-05:00,76.25,76.69,76.09,76.47,17925790.0
2025-01-16 19:00:00-05:00,76.86,77.195,76.68,76.78,10667115.0
2025-01-20 19:00:00-05:00,77.8,78.35,77.6838,78.33,13169107.0
2025-01-21 19:00:00-05:00,78.49,78.5,78.12,78.15,8666664.0
2025-01-22 19:00:00-05:00,78.34,78.79,78.19,78.79,10977637.0
2025-01-23 19:00:00-05:00,79.15,79.46,79.075,79.23,7578399.0
2025-01-26 19:00:00-05:00,78.84,79.27,78.82,79.23,13559152.0
2025-01-27 19:00:00-05:00,79.11,79.18,78.655,79.13,9458406.0
2025-01-28 19:00:00-05:00,79.14,79.355,78.85,79.12,7875350.0
2025-01-29 19:00:00-05:00,79.88,80.32,79.64,79.99,13792063.0
2025-01-30 19:00:00-05:00,79.86,80.17,79.17,79.24,14935711.0
2025-02-02 19:00:00-05:00,77.91,78.8,77.6476,78.31,14997646.0
2025-02-03 19:00:00-05:00,78.785,79.3,78.71,79.22,10608266.0
2025-02-04 19:00:00-05:00,79.71,80.085,79.55,79.99,7857042.0
2025-02-05 19:00:00-05:00,80.25,80.54,80.1901,80.37,7806531.0
2025-02-06 19:00:00-05:00,80.42,80.48,79.48,79.61,13110844.0
2025-02-09 19:00:00-05:00,79.98,80.175,79.92,80.15,7287254.0
2025-02-10 19:00:00-05:00,80.06,80.615,80.025,80.53,7583803.0
2025-02-11 19:00:00-05:00,80.01,80.99,79.89,80.83,17271426.0
2025-02-12 19:00:00-05:00,81.2,81.85,81.12,81.81,17212339.0
2025-02-13 19:00:00-05:00,82.27,82.35,81.905,81.93,8051820.0
2025-02-17 19:00:00-05:00,82.47,82.63,82.32,82.52,9485857.0
2025-02-18 19:00:00-05:00,81.65,81.8,81.375,81.67,11042162.0
2025-02-19 19:00:00-05:00,81.91,82.1,81.585,82.05,9177372.0
2025-02-20 19:00:00-05:00,82.12,82.135,81.3801,81.54,11630000.0
2025-02-23 19:00:00-05:00,81.87,81.99,81.3399,81.49,11135811.0
2025-02-24 19:00:00-05:00,82.51,82.51,81.875,82.23,10091354.0
2025-02-25 19:00:00-05:00,82.47,82.985,82.17,82.34,11254629.0
2025-02-26 19:00:00-05:00,82.11,82.11,81.36,81.41,19003207.0
2025-02-27 19:00:00-05:00,81.33,81.65,80.81,81.58,20717807.0
2025-03-02 19:00:00-05:00,83.17,83.385,82.025,82.48,16234749.0
2025-03-03 19:00:00-05:00,81.89,83.33,81.21,82.46,18408473.0
2025-03-04 19:00:00-05:00,83.58,84.57,83.58,84.43,17092514.0
2025-03-05 19:00:00-05:00,83.81,84.4899,83.5,83.56,18421015.0
2025-03-06 19:00:00-05:00,83.71,84.54,83.5365,84.43,13184265.0
2025-03-09 20:00:00-04:00,83.04,83.34,81.88,82.44,15823195.0
2025-03-10 20:00:00-04:00,82.53,82.65,81.605,82.16,18088834.0
2025-03-11 20:00:00-04:00,82.71,82.93,82.175,82.75,15886266.0
2025-03-12 20:00:00-04:00,82.27,82.495,81.9399,82.2,18561447.0
2025-03-13 20:00:00-04:00,83.0,83.73,82.85,83.71,13971270.0
2025-03-16 20:00:00-04:00,83.93,84.78,83.87,84.65,12966764.0
2025-03-17 20:00:00-04:00,84.58,84.7701,84.1499,84.64,10513395.0
2025-03-18 20:00:00-04:00,84.34,85.185,84.2773,84.89,16362393.0
2025-03-19 20:00:00-04:00,83.67,84.25,83.645,84.18,11820548.0
2025-03-20 20:00:00-04:00,83.55,83.82,83.37,83.66,18771241.0
2025-03-23 20:00:00-04:00,83.585,83.83,83.345,83.65,12201774.0
2025-03-24 20:00:00-04:00,84.22,84.32,83.91,84.11,10478188.0
