date,open,high,low,close,volume
2025-01-01 19:00:00-05:00,87.8,88.115,87.21,87.57,27841296.0
2025-01-02 19:00:00-05:00,87.72,87.88,87.18,87.29,21962204.0
2025-01-05 19:00:00-05:00,87.05,87.23,86.67,86.9,30231493.0
2025-01-06 19:00:00-05:00,86.6,86.77,85.79,85.92,41757185.0
2025-01-07 19:00:00-05:00,85.47,86.2,85.34,86.03,44590774.0
2025-01-09 19:00:00-05:00,85.28,85.845,85.16,85.46,47115832.0
2025-01-12 19:00:00-05:00,85.53,85.66,85.04,85.43,33258924.0
2025-01-13 19:00:00-05:00,85.23,85.36,84.89,85.29,33412888.0
2025-01-14 19:00:00-05:00,86.695,86.975,86.395,86.76,54120729.0
2025-01-15 19:00:00-05:00,86.64,87.395,86.28,87.04,34651051.0
2025-01-16 19:00:00-05:00,87.43,87.48,87.04,87.19,29875611.0
2025-01-20 19:00:00-05:00,87.89,88.17,87.63,87.97,30548614.0
2025-01-21 19:00:00-05:00,87.87,87.98,87.32,87.51,25278409.0
2025-01-22 19:00:00-05:00,86.64,86.99,86.525,86.83,31949017.0
2025-01-23 19:00:00-05:00,86.72,87.28,86.6,87.22,21110355.0
2025-01-26 19:00:00-05:00,88.155,88.43,87.85,88.25,42864203.0
2025-01-27 19:00:00-05:00,87.84,88.2,87.6591,88.19,25519105.0
2025-01-28 19:00:00-05:00,88.43,88.615,87.63,88.01,25342751.0
2025-01-29 19:00:00-05:00,88.41,88.705,88.17,88.34,25094896.0
2025-01-30 19:00:00-05:00,88.38,88.66,87.43,87.76,48812469.0
2025-02-02 19:00:00-05:00,88.575,89.1,87.8,88.16,70657233.0
2025-02-03 19:00:00-05:00,87.55,88.4499,87.48,88.43,33413956.0
2025-02-04 19:00:00-05:00,89.45,90.175,89.39,89.89,48331179.0
2025-02-05 19:00:00-05:00,89.86,90.15,89.545,89.85,22509940.0
2025-02-06 19:00:00-05:00,89.24,89.45,88.935,89.27,31171245.0
2025-02-09 19:00:00-05:00,89.264,89.53,88.85,89.0,22736056.0
2025-02-10 19:00:00-05:00,88.53,88.68,88.375,88.43,21513015.0
2025-02-11 19:00:00-05:00,87.29,87.6,86.8601,87.23,48536211.0
2025-02-12 19:00:00-05:00,88.09,88.89,88.07,88.68,42718098.0
2025-02-13 19:00:00-05:00,89.38,89.68,89.12,89.15,27460743.0
2025-02-17 19:00:00-05:00,88.54,88.84,88.04,88.1,29429174.0
2025-02-18 19:00:00-05:00,87.95,88.45,87.885,88.21,20584304.0
2025-02-19 19:00:00-05:00,88.45,88.76,88.45,88.54,27913442.0
2025-02-20 19:00:00-05:00,88.87,89.93,88.82,89.61,46912348.0
2025-02-23 19:00:00-05:00,89.33,90.06,89.26,89.87,26217988.0
2025-02-24 19:00:00-05:00,90.97,91.5,90.8,91.42,50125054.0
2025-02-25 19:00:00-05:00,91.42,92.06,91.2,91.96,32220186.0
2025-02-26 19:00:00-05:00,91.31,91.79,91.14,91.31,53373572.0
2025-02-27 19:00:00-05:00,91.85,92.475,91.4701,92.43,49388600.0
2025-03-02 19:00:00-05:00,91.41,92.71,91.37,92.57,42904172.0
2025-03-03 19:00:00-05:00,92.44,92.79,91.265,91.43,56721962.0
2025-03-04 19:00:00-05:00,91.56,91.8,90.61,90.7,50215938.0
2025-03-05 19:00:00-05:00,90.48,90.8,89.7337,90.4,42827474.0
2025-03-06 19:00:00-05:00,91.14,91.16,89.985,90.11,36903632.0
2025-03-09 20:00:00-04:00,91.08,91.63,90.91,91.05,41190857.0
2025-03-10 20:00:00-04:00,90.965,91.4905,90.14,90.4,40555666.0
2025-03-11 20:00:00-04:00,90.0,90.38,89.78,89.86,32734569.0
2025-03-12 20:00:00-04:00,89.58,90.71,89.375,90.65,38675413.0
2025-03-13 20:00:00-04:00,90.01,90.41,89.86,90.17,24657989.0
2025-03-16 20:00:00-04:00,90.8,91.18,90.38,90.62,26700275.0
2025-03-17 20:00:00-04:00,90.14,91.02,90.12,90.71,23654748.0
2025-03-18 20:00:00-04:00,90.68,91.22,90.38,91.18,31378713.0
2025-03-19 20:00:00-04:00,92.2,92.24,91.155,91.24,35645824.0
2025-03-20 20:00:00-04:00,91.33,91.435,90.62,90.7,29192076.0
2025-03-23 20:00:00-04:00,90.2,90.255,89.7,89.77,27985580.0
2025-03-24 20:00:00-04:00,89.57,90.08,89.51,89.76,22333833.0
2025-03-25 20:00:00-04:00,89.39,89.595,89.09,89.17,25165323.0
2025-03-26 20:00:00-04:00,88.85,89.025,88.63,88.91,23674536.0
2025-03-27 20:00:00-04:00,89.88,90.34,89.81,90.14,39869372.0
2025-03-30 20:00:00-04:00,91.23,91.335,90.36,91.03,38824321.0
2025-03-31 20:00:00-04:00,91.25,91.905,91.21,91.49,39800072.0
2025-04-01 20:00:00-04:00,92.37,92.37,90.66,91.43,43488407.0
2025-04-02 20:00:00-04:00,92.52,92.73,91.84,91.85,57467355.0
2025-04-03 20:00:00-04:00,93.65,94.09,92.82,92.85,92794210.0
2025-04-06 20:00:00-04:00,91.88,92.19,89.795,90.05,124987637.0
2025-04-07 20:00:00-04:00,89.28,90.2,88.22,88.35,73861858.0
2025-04-08 20:00:00-04:00,87.27,88.91,85.89,88.87,131353453.0
2025-04-09 20:00:00-04:00,87.74,88.175,86.3501,86.42,78591989.0
2025-04-10 20:00:00-04:00,85.87,87.2993,85.0,86.89,94814139.0
2025-04-13 20:00:00-04:00,87.4,87.71,86.815,87.51,37596366.0
